Z,A,R,DR,Ref.,Remarks,Type,connect_abs_idxs,connect_rel_idxs
2,3,1.9407922365988568,0.023980019480235724,Re84b,"Contains  Co65, MC70, MC77, Sz77, Du83",el-scatt.,"1,0,2",
2,4,1.6756661487236373,0.002793006220350416,Si82,"Re-anal. of Fr66a, Fr67, Er68, MC77, Ar78",el-scatt.,"4,6,5,3",
3,6,2.552222222222138,0.03333333333313799,Su67,,el-scatt.,"8,7,9",
3,7,2.3952941176471088,0.05144957554349828,Su67,,el-scatt.,"11,10",
4,9,2.517992356478199,0.01186345807638284,Ja72,,el-scatt.,"13,14,12",
5,10,2.427692307692535,0.04992301766113207,Do86,Preliminary,el-scatt.,"16,15",
5,11,2.4059566695685346,0.029418975779375526,Ri71,From  Vr87,el-scatt.,"18,17,19",
6,12,2.469686896723466,0.0026896095310092066,Si82,"Re-analysis of  Si70a, Ja72, Ca80a, Re82",el-scatt.,"34,22,31,23,30,29,36,20,35,21","1,0,3"
6,13,2.4625083515911865,0.0037224202924384174,He70a,,el-scatt.,"24,26,25",
6,14,2.496602978793161,0.01654278447470635,Kl73,,el-scatt.,"27,28",
7,14,2.552815443303746,0.008648471669538015,Sc75,,el-scatt.,"34,22,31,23,30,29,36,20,35,21","1,0,3"
7,15,2.6094689564068934,0.009391194351889736,Sc75,,el-scatt.,"32,33",
8,16,2.705967061950514,0.007293449282299574,Si80a,"From  Ba80(mu-Xray): ""Priv. comm. I.Sick""",el-scatt.,"34,22,31,23,30,29,36,20,35,21","1,0,3"
8,17,2.6980133185349855,0.01732761680683755,Si70a,,el-scatt.,"38,37",
8,18,2.7701935191508427,0.007821168392745192,Si70a,,el-scatt.,"47,46,45,43,41,39,44,40,42","6,5,7"
9,19,2.8975241209223586,0.002464456341430352,Ha73b,,el-scatt.,"47,46,45,43,41,39,44,40,42","6,5,7"
10,20,3.004021319331045,0.0030209966841895602,Kn81,,el-scatt.,"47,46,45,43,41,39,44,40,42","6,5,7"
10,21,2.967,0.003600000000004451,Fr92,Re-analysed in Fr95,mu-Xray,48,
10,22,2.954809719868964,0.002198416901281151,Mo71,,el-scatt.,"52,49,50,51,54,53","8,10,9"
